X,Y,NAME,ADDRESS,CITY,COUNTY,DISTRICT,PROGRAM,STATUS,MANAGER,OBJECTID,ERIC_ID,LAT_DD,LAT_MM,LONG_DD,LONG_MM,DATUM,HAZ_ARC_ID,DOCUMENTS
-87.24098919,30.42802892,Exclusive Cleaners & Laundry (aka Professional One Hour Cleaners),1595 N Pace Blvd,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,Benjamin Grubbs,109,ERIC_4636,30,25,87,14,WGPS,179501157,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_4636/gis-facility!search
-81.6894679,30.32374048,Bert Morsch Lumber,Woodlawn Ave & Lewis St,Jacksonville,DUVAL,NED,StateFunded,OPEN,Benjamin Grubbs,110,ERIC_3889,30,19,81,41,ADDM,118,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3889/gis-facility!search
-82.68393283,27.88647346,118th Avenue Landfill,Between 118th Ave N Ulmerton Rd 34th ,Clearwater,PINELLAS,SWD,StateFunded,OPEN,Crystal Posey,111,ERIC_3965,27,53,82,41,ADDM,195,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3965/gis-facility!search
-85.5406612,30.24504318,Arc On Welding,5319 Sunwood Rd,Panama City,BAY,NWD,StateFunded,CLOSED, ,116,ERIC_3932,30,14,85,32,UNKN,162,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3932/gis-facility!search
-82.37548793,27.96398232,Concrete Equipment & Supply,2110 N 71st St,Tampa,HILLSBOROUGH,SWD,StateFunded,CLOSED, ,117,ERIC_3886,27,57,82,22,ADDM,114,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3886/gis-facility!search
-81.6103074,27.90400354,Als Radiator Shop,1298 State Road 60 W,Lake Wales,POLK,SWD,StateFunded,CLOSED, ,119,ERIC_3928,27,54,81,36,WGPS,158,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3928/gis-facility!search
-81.70086612,30.16675955,Town & Country,1925 Park Ave,Orange Park,CLAY,NED,StateFunded,OPEN, ,170,ERIC_3828,30,10,81,42,ADDM,55,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3828/gis-facility!search
-82.14367646,28.99803865,Florida Peach - Belleview,"13 mi S of Ocala, on E side of I75 & Hwy 475 A int",Belleview,MARION,CD,StateFunded,CLOSED, ,123,ERIC_3839,28,59,82,8,ADDM,66,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3839/gis-facility!search
-86.96110009,30.58850724,Passmore,4217 Elvis Presley Dr,Milton,SANTA ROSA,NWD,StateFunded,CLOSED, ,125,ERIC_3904,30,35,86,57,UNKN,133,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3904/gis-facility!search
-81.35023455,28.67973196,Emerson Electric,440 Plumosa Ave,Altamonte Springs,SEMINOLE,CD,StateFunded,CLOSED, ,127,ERIC_3818,28,40,81,21,ADDM,45,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3818/gis-facility!search
-81.82003333,28.08534319,ADAMS PACKING - AUBURNDALE A.K.A. CALLOWAY AND SONS,306 Denton Ave,Auburndale,POLK,SWD,StateFunded,OPEN, ,128,ERIC_13376,28,5,81,49,DPHO,,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_13376/gis-facility!search
-81.43427415,26.66647816,McCluskey Dump,"SR 29, 5.5 mi S of LaBelle",LaBelle,HENDRY,SD,StateFunded,CLOSED, ,129,ERIC_3832,26,39,81,26,ADDM,59,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3832/gis-facility!search
-82.33964897,30.02288689,Lake Butler Gasoline  Contamination,SW 3 St. & Main St,Lake Butler,UNION,NED,StateFunded,CLOSED, ,130,ERIC_3836,30,1,82,20,ADDM,63,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3836/gis-facility!search
-82.10976607,29.41644234,Citra,US 301 & SR 318,Ocala,MARION,CD,StateFunded,CLOSED, ,131,ERIC_3842,29,24,82,6,ADDM,69,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3842/gis-facility!search
-82.28864615,27.81312267,Tropical Acres South,12508 Lenwood Ln,Riverview,HILLSBOROUGH,SWD,StateFunded,CLOSED, ,133,ERIC_3860,27,48,82,17,ADDM,88,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3860/gis-facility!search
,,,,,,,,,,,,,,,,,,
-82.15658344,29.2165549,Ocala Plating,3200 NW 16th Ave,Ocala,MARION,CD,StateFunded,CLOSED, ,135,ERIC_3833,29,12,82,9,ADDM,60,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3833/gis-facility!search
-80.17096109,26.63927368,USDA Experimental Station,Palm Beach Pine State Rec Area,West Palm Beach,PALM BEACH,SED,StateFunded,CLOSED, ,136,ERIC_3835,26,38,80,10,ADDM,62,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3835/gis-facility!search
-82.15922182,29.02447841,Camview,I-75 & SR 484,Ocala,MARION,CD,StateFunded,CLOSED, ,137,ERIC_3841,29,1,82,9,ADDM,68,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3841/gis-facility!search
-80.23435764,25.86116962,Miguels Auto Service,2201 NW 95th St,Miami,MIAMI-DADE,SED,StateFunded,CLOSED, ,140,ERIC_3820,25,51,80,14,ADDM,47,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3820/gis-facility!search
-82.11229863,29.33795407,Sparr Gasoline Contamination,Route 200A,Sparr,MARION,CD,StateFunded,CLOSED, ,141,ERIC_3827,29,20,82,6,ADDM,54,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3827/gis-facility!search
-80.2535852,25.84364298,Ace - Parker,3500 NW 79th St,Miami,MIAMI-DADE,SED,StateFunded,CLOSED, ,142,ERIC_3858,25,50,80,15,ADDM,86,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3858/gis-facility!search
-82.47901005,27.96464279,Escobio Contamination Site,1907 W Saint John St,Tampa,HILLSBOROUGH,SWD,StateFunded,CLOSED, ,143,ERIC_3862,27,57,82,28,ADDM,90,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3862/gis-facility!search
-80.43255528,25.81231908,Jorge Leon Dump Site,NW 41st St & 122nd Ave,Miami,MIAMI-DADE,SED,StateFunded,CLOSED, ,146,ERIC_3837,25,48,80,25,ADDM,64,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3837/gis-facility!search
-82.39300086,27.96323959,Royal Bumper Plating,5607 E Broadway Ave,Tampa,HILLSBOROUGH,SWD,StateFunded,CLOSED, ,147,ERIC_3909,27,57,82,23,WGPS,138,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3909/gis-facility!search
-81.88447171,28.79193031,Pearson Property,14 Ginger Cir,Leesburg,LAKE,CD,StateFunded,CLOSED, ,148,ERIC_3917,28,47,81,53,UNKN,147,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3917/gis-facility!search
,,,,,,,,,,,,,,,,,,
-82.3659139,27.98507832,Edward Dorough,1806 Downing Circle,Tampa,HILLSBOROUGH,SWD,StateFunded,CLOSED, ,150,ERIC_3888,27,59,82,21,ADDM,116,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3888/gis-facility!search
-82.70144244,27.77067096,Fritz Enterprises - Part A,5000 Central Ave,Saint Petersburg,PINELLAS,SWD,StateFunded,OPEN, ,151,ERIC_6430,27,46,82,42,,,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6430/gis-facility!search
-87.0088212,30.40037292,The Strip Joint,1761 Kell Rd,Gulf Breeze,SANTA ROSA,NWD,StateFunded,CLOSED, ,153,ERIC_3929,30,24,87,0,,159,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3929/gis-facility!search
-82.05435624,29.05940645,Belleview Gasoline Contamination,Robinson Rd & US Hwy 441,Belleview,MARION,CD,StateFunded,CLOSED, ,154,ERIC_3813,29,3,82,3,ADDM,40,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3813/gis-facility!search
,,,,,,,,,,,,,,,,,,
-85.0455365,30.6905156,Grand Ridge Drum,Off Blount Rd,Grand Ridge,JACKSON,NWD,StateFunded,CLOSED, ,156,ERIC_3878,30,41,85,2,ADDM,106,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3878/gis-facility!search
-81.30160651,28.80237196,City Chemical - Sanford,Airport Blvd & Jewett Ln,Sanford,SEMINOLE,CD,StateFunded,CLOSED, ,157,ERIC_3831,28,48,81,18,ADDM,58,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3831/gis-facility!search
-83.98772304,30.35850661,Wacissa Groundwater Contamination,CR 259 & SR 59,Wacissa,JEFFERSON,NWD,StateFunded,CLOSED, ,161,ERIC_3830,30,21,83,59,ADDM,57,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3830/gis-facility!search
-80.16476631,26.6896712,Stenger Property,832 Pike Rd,West Palm Beach,PALM BEACH,SED,StateFunded,CLOSED, ,162,ERIC_3946,26,41,80,9,WGPS,176,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3946/gis-facility!search
-87.3738504,30.68939539,Maucher Property,2950 Keck Rd,Molino,ESCAMBIA,NWD,StateFunded,CLOSED, ,163,ERIC_3906,30,41,87,22,WGPS,135,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3906/gis-facility!search
-81.58771671,28.23132182,Vroom,"Petes Ln, W of SR 547",Loughman,POLK,SWD,StateFunded,CLOSED, ,165,ERIC_3829,28,13,81,35,ADDM,56,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3829/gis-facility!search
-83.00097165,29.74025014,Edmonds Salvage Yard,"SR 351, 8 mi. N of Cross City",Cross City,DIXIE,NED,StateFunded,CLOSED, ,167,ERIC_3817,29,44,83,0,ADDM,44,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3817/gis-facility!search
